Property Id,Property Name,Address 1,City,Postal Code,Province,Primary Property Type - Self Selected,Number of Buildings,Year Built,Property GFA - Self-Reported (m²),ENERGY STAR Score,Site Energy Use (GJ),Weather Normalized Site Energy Use (GJ),Site EUI (GJ/m²),Weather Normalized Site EUI (GJ/m²),Source Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Source EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/m²),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/m²),Electricity Use - Grid Purchase (kWh),Natural Gas Use (GJ),District Hot Water Use (GJ),Electricity Use – Generated from Onsite Renewable Systems (kWh),Green Power - Onsite and Offsite (kWh),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Year Ending,Unique ID
21988596,Calgary Soccer Centre and Annex,7000 48 ST SE,Calgary,T2C 4E1,Alberta,Indoor Arena,2,1990,16258,,16284,18421,1.00,1.13,20674,22939,1.27,1.41,1372,84.4,609,37.4,1231244,11852,,,1231244,572,2023,2023-21988596
9552446,Canyon Meadows Aquatic & Fitness Centre,89 Canova Rd SW,Calgary,T2W 6G3,Alberta,Fitness Center/Health Club/Gym,1,1963,1953,,10191,10736,5.22,5.50,12416,12994,6.36,6.65,777,397.7,416,212.8,582264,8095,,,582264,271,2023,2023-9552446
10154586,Corporate Warehouse,2340 22 ST NE,Calgary,T2E 8L9,Alberta,Non-Refrigerated Warehouse,1,1985,10640,83,6266,6929,0.59,0.65,7746,8497,0.73,0.8,477,44.8,224,21.0,407449,4361,,132972,529463,246,2023,2023-10154586
21988623,Corral Operations Depot,5510 23 AV SE,Calgary,T2B 3E2,Alberta,Other - Public Services,1,2001,260,,422,473,1.62,1.82,620,684,2.38,2.63,49,187.2,10,39.3,62045,199,,,62045,29,2023,2023-21988623
8854299,Dartmouth Place,480 36 AV SE,Calgary,T2G1W5,Alberta,Office,1,1978,3665,77,2802,3044,0.76,0.83,3742,3956,1.02,1.08,265,72.3,92,25.2,278754,1798,,,278754,130,2023,2023-8854299
9578055,East Calgary WMF Building S and T,3030 68 St SE,Calgary,T2B0M5,Alberta,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2,2014,9891,,11317,12922,1.14,1.31,13382,15142,1.35,1.53,799,80.7,489,49.4,499978,9517,,,499978,232,2023,2023-9578055
10170296,Emergency Operations Centre,673 1 ST NE,Calgary,T2E6R2,Alberta,Office,1,2012,5213,1,20152,20811,3.87,3.99,33436,34135,6.41,6.55,2931,562.1,230,44.0,4356404,4469,,,4356405,2025,2023,2023-10170296
21988614,EMS #15,5010 BOWNESS RD NW,Calgary,T3B 0B9,Alberta,Other - Public Services,1,1975,420,,558,615,1.33,1.46,685,745,1.63,1.78,43,103.4,22,53.3,33933,436,,,33933,16,2023,2023-21988614
9619682,EMS #3,1807 MACLEOD TR SE,Calgary,T2G2N9,Alberta,Fire Station,1,1912,1508,,1872,1962,1.24,1.30,2445,2540,1.62,1.68,169,111.7,65,43.3,166317,1273,,,166317,77,2023,2023-9619682
21988621,EMS #4,16 MONCTON RD NE,Calgary,T2E 5R1,Alberta,Other - Public Services,1,1975,1070,,1030,1150,0.96,1.07,1293,1421,1.21,1.33,85,79.0,39,36.9,72731,768,,,72731,34,2023,2023-21988621
21988613,EMS #5,4824 4 ST NW,Calgary,T2K 6K8,Alberta,Fire Station,1,1994,379,,296,332,0.78,0.88,372,408,0.98,1.08,24,64.3,11,30.0,20945,221,,,20945,10,2023,2023-21988613
21988627,EMS #6,1940 WESTMOUNT BV NW,Calgary,T2N 3G8,Alberta,Other - Public Services,1,1964,425,,763,899,1.80,2.11,869,1012,2.04,2.38,49,114.3,35,82.9,21547,686,,,21547,10,2023,2023-21988627
9475593,Ernie Star Arena,4808 14 Av SE,Calgary,T2A0K9,Alberta,Ice/Curling Rink,1,1970,3884,60,3957,4532,1.02,1.17,5251,5963,1.35,1.54,369,95.0,133,34.2,380933,2586,,,380933,177,2023,2023-9475593
6731628,Fire Headquarters,4144 11 ST SE,Calgary,T2G 3H2,Alberta,Office,1,2017,5223,,3777,4038,0.72,0.77,5388,5666,1.03,1.08,409,78.2,98,18.7,501077,1906,,18668,519745,242,2023,2023-6731628
9469974,Fire Station #1,450 1 ST SE,Calgary,T2G 5E3,Alberta,Fire Station,1,1973,1638,,1655,1808,1.01,1.10,2232,2394,1.36,1.46,160,97.7,53,32.4,172409,1034,,,172409,80,2023,2023-9469974
10002717,Fire Station #10,1909 16 AV NW,Calgary,T2M 4V8,Alberta,Fire Station,1,1996,1759,,1292,1401,0.73,0.80,1720,1827,0.98,1.04,121,69.0,43,24.4,126309,837,,,126309,59,2023,2023-10002717
9769634,Fire Station #11,5506 4 ST SW,Calgary,T3E1P1,Alberta,Fire Station,1,2014,2320,,2113,2228,0.91,0.96,2905,3010,1.25,1.3,213,91.8,64,27.6,240185,1248,,,240185,112,2023,2023-9769634
9787562,Fire Station #12,123 44 ST SE,Calgary,T2A 3E2,Alberta,Fire Station,1,1973,972,,1064,1151,1.09,1.18,1468,1556,1.51,1.6,108,111.1,32,32.9,122685,622,,,122685,57,2023,2023-9787562
9846129,Fire Station #14,9840 Horton Rd SW,Calgary,T2V 5H5,Alberta,Fire Station,1,1989,963,,846,925,0.88,0.96,1136,1220,1.18,1.27,81,84.1,27,28.5,86491,534,,,86491,40,2023,2023-9846129
9848101,Fire Station #15,6328 35 AV NW,Calgary,T3B 1S4,Alberta,Fire Station,1,1961,793,,702,763,0.89,0.96,974,1042,1.23,1.31,72,90.9,21,26.1,82896,404,,,82896,39,2023,2023-9848101
9959373,Fire Station #16,4124 11 ST SE,Calgary,T2G 3H2,Alberta,Fire Station,1,1988,4111,,4177,4453,1.02,1.08,5819,6093,1.42,1.48,433,105.3,122,29.6,501747,2371,,,501747,233,2023,2023-9959373
9997794,Fire Station #18,415 68 Ave NW,Calgary,T2K 5J6,Alberta,Fire Station,1,1975,1057,,819,892,0.77,0.84,1062,1139,1.00,1.08,72,68.5,29,27.6,69849,567,,,69849,33,2023,2023-9997794
10260523,Fire Station #19,13807 Parkland Blvd SE,Calgary,T2J 6X3,Alberta,Fire Station,1,1975,1066,,1015,1098,0.95,1.03,1316,1395,1.23,1.31,90,84.3,36,33.8,86757,702,,,86757,40,2023,2023-10260523
9639310,Fire Station #2,1010 10 AV SW,Calgary,T2R1M4,Alberta,Fire Station,1,1975,1670,,2009,2182,1.20,1.31,2568,2738,1.54,1.64,172,103.0,74,44.3,158247,1439,,,158247,74,2023,2023-9639310
10263307,Fire Station #20,2800 PEACEKEEPERS WY SW,Calgary,T3E 7B2,Alberta,Fire Station,1,1977,1101,,1231,1353,1.12,1.23,1607,1743,1.46,1.58,111,100.4,43,39.2,108803,840,,,108803,51,2023,2023-10263307
10265387,Fire Station #21,209 Silvergrove Dr NW,Calgary,T3B 5A4,Alberta,Fire Station,1,1977,1095,,1327,1426,1.21,1.30,1846,1969,1.69,1.8,137,125.2,39,35.5,158428,757,,,158428,74,2023,2023-10265387
10277262,Fire Station #22,7199 Temple Dr NE,Calgary,T1Y 4Z4,Alberta,Fire Station,1,1979,1105,,1215,1331,1.10,1.20,1557,1680,1.41,1.52,104,94.5,44,39.9,97259,858,,1919,99178,46,2023,2023-10277262
10287290,Fire Station #23,2727 26 AV SE,Calgary,T1Y 4Z4,Alberta,Fire Station,1,1950,1112,,1161,1274,1.04,1.15,1514,1633,1.36,1.47,104,93.6,41,36.6,102141,793,,,102141,48,2023,2023-10287290
21988628,Fire Station #24,2607 106 AV SW,Calgary,T2W 4H7,Alberta,Fire Station,1,1978,1108,,959,1044,0.87,0.94,1298,1387,1.17,1.25,93,84.0,30,27.2,101589,587,,1839,103428,48,2023,2023-21988628
21988625,Fire Station #25,4705 76 AV SE,Calgary,T2C 2X1,Alberta,Fire Station,1,1982,1108,,1118,1244,1.01,1.12,1403,1538,1.27,1.39,92,82.8,43,38.6,78857,834,,,78857,37,2023,2023-21988625
21988619,Fire Station #28,7925 EDGEMONT BV NW,Calgary,T3A 4M8,Alberta,Fire Station,1,1987,945,,1345,1498,1.42,1.58,1815,1980,1.92,2.1,130,137.7,43,45.7,140246,840,,,140246,65,2023,2023-21988619
21988622,Fire Station #29,7027 COACH HILL RD SW,Calgary,T3H 3R7,Alberta,Fire Station,1,1988,928,,1010,1125,1.09,1.21,1337,1459,1.44,1.57,94,100.9,34,36.8,95974,665,,,95974,45,2023,2023-21988622
21988618,Fire Station #30,6 MCKENZIE TOWNE GA SE,Calgary,T2Z 0N2,Alberta,Fire Station,1,1998,1317,,1563,1693,1.19,1.29,2094,2232,1.59,1.69,149,112.9,51,38.7,157716,992,,905,158621,74,2023,2023-21988618
10536969,Fire Station #33,3800 69 ST SW,Calgary,T3H 3E4,Alberta,Fire Station,1,2009,1908,,1528,1613,0.80,0.85,1964,2055,1.03,1.08,133,69.5,55,29.1,124475,1079,,,124475,58,2023,2023-10536969
10531101,Fire Station #34,16 Royal Vista Way NW,Calgary,T3R0N2,Alberta,Fire Station,1,2015,2258,,3253,3489,1.44,1.55,4145,4396,1.84,1.95,277,122.5,121,53.4,251600,2347,,,251600,117,2023,2023-10531101
21988605,Fire Station #35,11280 VALLEY RIDGE BV NW,Calgary,T3B 5Y6,Alberta,Fire Station,1,2009,1670,,1920,2056,1.15,1.23,2440,2573,1.46,1.54,162,97.1,72,42.9,146043,1394,,,146043,68,2023,2023-21988605
21988629,Fire Station #36,10071 HIDDEN VALLEY DR NW,Calgary,T3A 5G1,Alberta,Fire Station,1,1988,204,,262,284,1.28,1.39,352,376,1.72,1.84,25,123.0,9,41.7,26812,166,,,26812,13,2023,2023-21988629
10536854,Fire Station #37,2511 Eversyde Ave SW,Calgary,T2Y 5G9,Alberta,Fire Station,1,2013,1668,,2150,2299,1.29,1.38,2891,3039,1.73,1.82,207,123.8,70,41.7,220816,1355,,,220816,103,2023,2023-10536854
10543320,Fire Station #39,4199 114 AV SE,Calgary,T2Z 0H3,Alberta,Fire Station,1,2012,1842,,2287,2455,1.24,1.33,3058,3236,1.66,1.76,217,117.7,75,40.8,228535,1465,,,228535,106,2023,2023-10543320
9640461,Fire Station #4,1991 18 AV NE,Calgary,T2E8E1,Alberta,Fire Station,1,2003,1385,,1527,1631,1.10,1.18,2035,2136,1.47,1.54,144,103.7,51,36.6,150099,987,,,150099,70,2023,2023-9640461
10544403,Fire Station #40,12920 Symons Valley Rd NW,Calgary,T3P 0A3,Alberta,Fire Station,1,2013,1488,,1728,1907,1.16,1.28,2268,2458,1.52,1.65,157,105.7,60,40.1,157506,1161,,,157506,73,2023,2023-10544403
21988600,Fire Station #41,3790 SETON DR SE,Calgary,T3M 0M2,Alberta,Fire Station,1,2014,2129,,2778,3038,1.30,1.43,3583,3836,1.68,1.8,243,114.0,100,47.0,230155,1950,,,230155,107,2023,2023-21988600
10439375,Fire Station #42,275 Tuscany Way NW,Calgary,T3L 2Y8,Alberta,Fire Station,1,2018,1459,,1484,1584,1.02,1.09,1993,2099,1.37,1.44,139,95.5,45,30.5,153051,866,,18494,171485,80,2023,2023-10439375
9642577,Fire Station #5,3129 14 ST SW,Calgary,T2T3V8,Alberta,Fire Station,1,2012,2110,,2419,2558,1.15,1.21,3146,3278,1.49,1.55,215,101.9,85,40.2,209988,1653,,2996,212984,99,2023,2023-9642577
9649332,Fire Station #7,2708 4 ST NW,Calgary,T2M 3A3,Alberta,Fire Station,1,2016,1895,,1915,2097,1.01,1.11,2442,2646,1.29,1.4,158,83.5,65,34.1,150832,1260,,31793,182024,85,2023,2023-9649332
9662776,Fire Station #8,1720 45 ST SW,Calgary,T3C 2C3,Alberta,Fire Station,1,1979,1133,,1303,1455,1.15,1.28,1679,1840,1.48,1.62,114,100.3,47,41.6,107329,917,,,107329,50,2023,2023-9662776
9664992,Fire Station #9,2515 78 AV SE,Calgary,T2C 3B7,Alberta,Fire Station,1,1978,1072,,1082,1176,1.01,1.10,1461,1561,1.36,1.46,105,97.8,35,32.3,113319,674,,,113319,53,2023,2023-9664992
9492075,Foothills Aquatic Centre and Bauer and Bush Arenas,2424 University DR NW,Calgary,T2N 3Y9,Alberta,Ice/Curling Rink,2,1963,8558,11,26455,27855,3.09,3.25,34955,36439,4.08,4.26,2444,285.5,898,104.9,2493859,17477,,,2493859,1159,2023,2023-9492075
9569163,Forest Lawn Building,3810 17 AV SE,Calgary,T2A0S4,Alberta,Office,1,1979,1190,45,1122,1227,0.94,1.03,1566,1676,1.32,1.41,117,98.1,33,27.4,135635,634,,,135635,63,2023,2023-9569163
9493731,Frank Mccool Arena,1900 Lake Bonavista Dr SE,Calgary,T2J 4B5,Alberta,Ice/Curling Rink,1,1975,2296,34,5290,5671,2.30,2.47,6835,7239,2.98,3.15,464,202.3,190,82.6,443070,3695,,,443070,206,2023,2023-9493731
6867796,Georgina Thompson Building,772 Northmount Dr NW,Calgary,T2L0A2,Alberta,Office,1,1990,540,58,452,490,0.84,0.91,596,636,1.10,1.18,42,76.9,15,28.6,42113,301,,,42113,20,2023,2023-6867796
9552651,Glenmore Aquatic Centre,5330 19 St SW,Calgary,T3E 1P2,Alberta,Heated Swimming Pool,1,1972,1463,,9497,10166,6.49,6.95,11453,12162,7.83,8.31,705,482.1,395,270.2,499831,7698,,,499831,232,2023,2023-9552651
9496797,Henry Viney and Stew Hendry Arenas,810 13 Ave NE,Calgary,T2E8A1,Alberta,Ice/Curling Rink,1,1977,5036,50,9986,10681,1.98,2.12,13225,13962,2.63,2.77,927,184.1,337,66.9,952523,6557,,,952524,443,2023,2023-9496797
21988609,Historic Holy Angels School,2105 CLIFF ST SW,Calgary,T2S 2G4,Alberta,Office,1,1919,1388,5,2953,3347,2.13,2.41,3530,3947,2.54,2.84,214,154.4,125,90.0,144304,2433,,,144304,67,2023,2023-21988609
10417915,Inglewood Aquatic Centre,1525 17 Av SW,Calgary,T2G 1J9,Alberta,Other - Recreation,1,1966,1418,,4221,4443,2.98,3.13,5253,5488,3.70,3.87,339,239.0,165,116.2,280899,3210,,,280899,131,2023,2023-10417915
9498648,Jimmie Condon and Rose Kohn Arenas,502 Heritage Dr SW,Calgary,T2V2W2,Alberta,Ice/Curling Rink,1,1969,5260,15,14719,15518,2.80,2.95,19970,20817,3.80,3.96,1442,274.0,465,88.3,1575796,9046,,,1575796,733,2023,2023-9498648
9563574,Killarney Aquatic and Recreation Centre,1919 29 St SW,Calgary,T3E2J7,Alberta,Fitness Center/Health Club/Gym,1,1964,2893,,10580,11294,3.66,3.90,13557,14314,4.69,4.95,911,314.9,387,133.8,844945,7539,,,844945,393,2023,2023-9563574
21988611,Lakeview Clubhouse,5840 19 ST SW,Calgary,T3E 3H3,Alberta,Other - Recreation,1,1965,113,,141,150,1.25,1.32,259,274,2.29,2.42,24,215.2,0,0.0,39237,,,,39237,18,2023,2023-21988611
10176477,Manchester Building A,651B 25 AV SE,Calgary,T2G 4K8,Alberta,Non-Refrigerated Warehouse,1,1975,5663,93,3804,4208,0.67,0.74,4962,5395,0.88,0.95,341,60.3,133,23.6,335220,2597,,,335220,156,2023,2023-10176477
21988597,"Manchester Building E - North and South Tower, Annex",2808 SPILLER RD SE,Calgary,T2G 4H3,Alberta,Office,3,1956,6988,,18948,20008,2.71,2.86,26496,27620,3.79,3.95,1979,283.3,545,78.1,2312959,10621,,,2312959,1075,2023,2023-21988597
9637753,Manchester Building U,677 25 AV SE,Calgary,T2G4K8,Alberta,Office,1,1992,3783,23,5117,5313,1.35,1.40,6710,6882,1.77,1.82,465,122.8,177,46.8,464125,3446,,,464125,216,2023,2023-9637753
9265818,Max Bell and Ken Bracko Arenas,1001 BARLOW TR SE,Calgary,T2E 6S2,Alberta,Ice/Curling Rink,1,1990,12856,25,25327,25327,1.97,1.97,35013,35013,2.72,2.72,2583,200.9,756,58.8,2946436,14720,,,2946436,1370,2023,2023-9265818
21988599,McHugh House,102 17 AV SW,Calgary,T2S 0A1,Alberta,Other - Public Services,1,1896,270,,194,212,0.72,0.78,237,256,0.88,0.95,15,55.2,8,29.0,11393,153,,,11393,5,2023,2023-21988599
8854298,Municipal Complex,"800 Macleod Trail SE, Calgary, AB T2P 2M5",Calgary,T2P 2M5,Alberta,Office,1,1982,85941,46,79343,84782,0.92,0.99,122524,129236,1.43,1.5,9678,112.6,60,0.7,9618602,1166,43552,,9618604,4472,2023,2023-8854298
21988608,North Area Office,905 30 AV NW,Calgary,T2K 0A2,Alberta,Office,1,1976,525,63,437,487,0.83,0.93,629,692,1.20,1.32,49,92.3,11,21.7,59842,222,,,59842,28,2023,2023-21988608
9493818,Optimist and George Blundun Arenas,5020 26 Av SW,Calgary,T3E 0R4,Alberta,Ice/Curling Rink,1,1972,5032,7,10435,11089,2.07,2.20,13796,14489,2.74,2.88,965,191.8,354,70.2,986534,6884,,,986534,459,2023,2023-9493818
21988616,Parks Administration Office,1011 52 ST SE,Calgary,T2A 4M6,Alberta,Office,1,1976,353,32,430,482,1.22,1.37,566,620,1.60,1.76,39,111.4,15,42.0,39515,288,,,39515,18,2023,2023-21988616
10536957,Ralph Klein Park Interpretative Centre,12350 84 St SE,Calgary,T3S 0A4,Alberta,Museum,1,2012,2049,31,3172,3601,1.55,1.76,4143,4624,2.02,2.26,286,139.3,111,54.1,281716,2158,,,281716,131,2023,2023-10536957
9563763,Renfrew Aquatic and Recreation Centre,810 13 Av NE,Calgary,T2E8A1,Alberta,Fitness Center/Health Club/Gym,1,1969,2035,,9111,9619,4.48,4.73,11490,12029,5.65,5.91,756,371.3,346,169.8,661289,6730,,,661289,307,2023,2023-9563763
9588819,Roads District 5 Garage and Office,2539 33 AV SW,Calgary,T3E7H5,Alberta,Mixed Use Property,1,1954,2072,,835,971,0.40,0.47,948,1092,0.46,0.53,53,25.4,39,18.7,22489,754,,,22489,11,2023,2023-9588819
9589240,Roads District 7 Admin Building,5603 24 ST SE,Calgary,T2C0B4,Alberta,Office,1,1972,922,,1913,2169,2.08,2.35,2496,2780,2.71,3.01,172,186.3,67,72.7,168874,1305,,,168874,79,2023,2023-9589240
9586833,Sarcee Administration Building,"5831 Richmond Road, SW",Calgary,T3H3P8,Alberta,Office,1,2018,3762,77,2681,2839,0.71,0.75,3734,3903,0.99,1.04,269,71.5,67,17.7,326606,1294,,59037,385123,179,2023,2023-9586833
6169481,Ad Valorem,2924 11 ST NE,Calgary,T2E 7L7,Alberta,Office,1,1981,"7,770",42,"10,118","9,899.10",1.3,1.27,"13,838.40","13,609.30",1.78,1.75,"1,043.60",134.3,323.9,41.7,"1,058,318.40","6,308.20",,,,,2019,2019-6169481
6305956,Alberta Trade Centre,315 10 AV SE,Calgary,T2G 0W2,Alberta,Office,1,1974,"6,681",80,"4,792.70","4,706.30",0.72,0.7,"7,582.10","7,467.10",1.13,1.12,604,90.4,1.3,0.2,"536,058.20",24.5,"2,838.40",,,,2019,2019-6305956
6506773,Water Centre,625 25 Ave SE,Calgary,T2G 4K8,Alberta,Office,1,2008,"14,548",86,"11,983.90","11,805.90",0.82,0.81,"16,788.60","16,608.80",1.15,1.14,"1,293.70",88.9,362.1,24.9,"1,369,892.90","7,052.50",,,,,2019,2019-6506773
6731628,Fire Headquarters,4144 11 ST SE,Calgary,T2G 3H2,Alberta,Office,1,2017,"5,223",89,"3,653.50","3,588.30",0.7,0.69,"5,047.80","4,981.90",0.97,0.95,381,72.9,110.9,21.2,"397,195.50","2,159.10",,,,,2019,2019-6731628
6867796,Georgina Thompson Building,772 Northmount Dr NW,Calgary,T2L 0A2,Alberta,Office,1,1990,540,77,506.1,494.7,0.94,0.92,647.2,635.7,1.2,1.18,45.7,84.6,18.6,34.5,"39,766.80",363,,,,,2019,2019-6867796
8854296,Andrew Davison,133 6 AV SE,Calgary,T2G 0G2,Alberta,Office,1,1979,"17,468",83,"14,092.50","13,802.80",0.81,0.79,"21,279.10","20,904.90",1.22,1.2,"1,624.90",93,48.9,2.8,"1,252,457.80",951.3,"8,632.50",,,,2019,2019-8854296
21988601,Sarcee Salt Storage Building,102 Westhills Way SW,Calgary,T3H 3M4,Alberta,Other,1,1962,4258,,253,290,0.06,0.07,462,531,0.11,0.12,44,10.2,0,0.0,70186,,,,70186,33,2023,2023-21988601
8854297,Calgary Public Building,205 8 AV SE,Calgary,T2G 0K7,Alberta,Office,1,1931,"15,195",,"8,004.40","7,913.30",0.53,0.52,"11,084.40","10,990.70",0.73,0.72,845.4,55.6,248.9,16.4,"877,207.70","4,846.60",,,,,2019,2019-8854297
8854298,Municipal Complex,"800 Macleod Trail SE, Calgary, AB T2P 2M5",Calgary,T2P 2M5,Alberta,Office,1,1982,"85,941",53,"87,455.30","85,739.70",1.02,1,"138,141.50","135,868.50",1.61,1.58,"10,999.90",128,59.1,0.7,"9,786,193.40","1,150.40","51,076",,,,2019,2019-8854298
8854299,Dartmouth Place,480 36 AV SE,Calgary,T2G 1W5,Alberta,Office,1,1978,"3,664.90",90,"2,984.40","2,903.50",0.81,0.79,"3,905.30","3,823.60",1.07,1.04,282.3,77,105.1,28.7,"260,547.40","2,046.40",,,,,2019,2019-8854299
9265818,Max Bell and Ken Bracko Arenas,1001 BARLOW TR SE,Calgary,T2E 6S2,Alberta,Ice/Curling Rink,1,1990,"12,856",20,"28,552.50","27,852.40",2.22,2.17,"38,068.10","37,361",2.96,2.91,"2,802.50",218,967.2,75.2,"2,698,969.10","18,836.60",,,,,2019,2019-9265818
9469974,Fire Station #1,450 1 ST SE,Calgary,T2G 5E3,Alberta,Fire Station,1,1973,"1,637.50",,"1,957.80","1,853.90",1.2,1.13,"2,584.10","2,479.20",1.58,1.51,188.4,115,67.7,41.4,"177,406","1,319.20",,,,,2019,2019-9469974
9474562,Thornhill Aquatic & Recreation Centre,6715 Centre St NW,Calgary,T2K 4Y5,Alberta,Ice/Curling Rink,1,1971,"4,189.80",,"14,754.60","14,480.60",3.52,3.46,"18,503.90","18,196.40",4.42,4.34,"1,279.10",305.3,563,134.4,"1,053,185.70","10,963.30",,,,,2019,2019-9474562
9475593,Ernie Star Arena,4808 14 Av SE,Calgary,T2A 0K9,Alberta,Ice/Curling Rink,1,1970,"3,884",38,"5,134.20","4,958.60",1.32,1.28,"6,654.60","6,440.90",1.71,1.66,476.3,122.6,184.2,47.4,"429,567.20","3,587.90",,,,,2019,2019-9475593
9481172,Bob Bohan Aquatic and Fitness Centre,4812 14 Av SE,Calgary,T2A 0K9,Alberta,Heated Swimming Pool,1,1976,"1,641.20",,"10,792.10","10,665.10",6.58,6.5,"12,910.90","12,782.60",7.87,7.79,845.3,515.1,445.5,271.4,"588,007.70","8,675.30",,,,,2019,2019-9481172
9492075,Foothills Aquatic Centre and Bauer and Bush Arenas,2424 University DR NW,Calgary,T2N 3Y9,Alberta,Ice/Curling Rink,2,1963,"8,558",12,"27,132.20","26,637.80",3.17,3.11,"35,568.90","35,069.60",4.16,4.1,"2,575.50",300.9,951.9,111.2,"2,387,651.30","18,537",,,,,2019,2019-9492075
9493731,Frank Mccool Arena,1900 Lake Bonavista Dr SE,Calgary,T2J 4B5,Alberta,Ice/Curling Rink,1,1975,"2,295.50",46,"4,854.80","4,779.30",2.11,2.08,"6,273","6,196.70",2.73,2.7,447.6,195,175.3,76.4,"400,499.20","3,413.10",,,,,2019,2019-9493731
9493818,Optimist and George Blundun Arenas,5020 26 Av SW,Calgary,T3E 0R4,Alberta,Ice/Curling Rink,1,1972,"5,032",13,"9,627.50","9,312.90",1.91,1.85,"12,504","12,134.80",2.48,2.41,896.9,178.2,344.1,68.4,"812,969.80","6,700.90",,,,,2019,2019-9493818
9496797,Henry Viney and Stew Hendry Arenas,810 13 Ave NE,Calgary,T2E 8A1,Alberta,Ice/Curling Rink,1,1977,"5,036.40",20,"14,139.50","13,902.30",2.81,2.76,"18,490.60","18,251",3.67,3.62,"1,335.60",265.2,498.5,99,"1,230,948.10","9,708.30",,,,,2019,2019-9496797
9498648,Jimmie Condon and Rose Kohn Arenas,502 Heritage Dr SW,Calgary,T2V 2W2,Alberta,Ice/Curling Rink,1,1969,"5,260.10",35,"11,981.50","11,773.70",2.28,2.24,"16,106.70","15,896.80",3.06,3.02,"1,195.20",227.2,398.7,75.8,"1,171,212.20","7,765.30",,,,,2019,2019-9498648
